fold,image_id,image_path,mask_label_path,has_c2,has_c4,foreground_pixels,c2_pixels,c4_pixels,resunet_ds_dice_c1,resunet_ds_dice_c2,resunet_ds_dice_c3,resunet_ds_dice_c4,resunet_ds_mean_dice_present_fg,resunet_ds_minority_dice_present,proposed_amc_ordinal_dice_c1,proposed_amc_ordinal_dice_c2,proposed_amc_ordinal_dice_c3,proposed_amc_ordinal_dice_c4,proposed_amc_ordinal_mean_dice_present_fg,proposed_amc_ordinal_minority_dice_present,deeplabv3_resnet50_dice_c1,deeplabv3_resnet50_dice_c2,deeplabv3_resnet50_dice_c3,deeplabv3_resnet50_dice_c4,deeplabv3_resnet50_mean_dice_present_fg,deeplabv3_resnet50_minority_dice_present,proposed_minus_resunet_mean_dice,proposed_minus_resunet_c2_dice,resunet_minus_proposed_c4_dice,proposed_minus_deeplab_mean_dice
4,22,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_22.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0022.png,1,0,90200,2064,0,0.8836407696003676,0.6203208556149733,,,0.7519808126076705,0.6203208556149733,0.8817194245725597,0.5515789473684211,,,0.7166491859704904,0.5515789473684211,0.8701823548123002,0.8341312306392565,,,0.8521567927257784,0.8341312306392565,-0.035331626637180036,-0.06874190824655224,,-0.13550760675528795
4,30,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_30.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0030.png,1,1,64528,26094,564,0.7132979659568048,0.6877579544520266,0.6354919693899156,0.2650375939849624,0.5753963709459273,0.5294291726089683,0.7170623217134845,0.6753481954206373,0.7236367315280073,0.9020866773675762,0.7545334815074263,0.7670238681054068,0.6452052848415968,0.689740875408478,0.7199018669219722,0.0,0.5137120067930118,0.4698809141101501,0.17913711056149895,-0.0124097590313893,-0.6370490833826138,0.2408214747144145
4,35,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_35.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0035.png,0,0,73548,0,0,0.844614900637872,0.0,,,0.422307450318936,0.0,0.8524577260622598,0.0,,,0.4262288630311299,0.0,0.8385366736610644,0.0,,,0.4192683368305322,0.0,0.0039214127121938724,0.0,,0.006960526200597672
4,36,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_36.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0036.png,0,0,104588,0,0,0.8897679619793123,,,,0.8897679619793123,,0.8893345077681366,,,,0.8893345077681366,,0.8824904956602826,,,,0.8824904956602826,,-0.00043345421117568783,,,0.006844012107854014
4,39,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_39.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0039.png,0,0,77532,0,0,0.8753614926454433,0.0,,,0.43768074632272164,0.0,0.8806891446582932,0.0,,,0.4403445723291466,0.0,0.864882439714604,0.0,,,0.432441219857302,0.0,0.002663826006424952,0.0,,0.007903352471844594
4,42,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_42.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0042.png,1,0,63082,4080,0,0.851174017323821,0.6317437722419929,,,0.7414588947829069,0.6317437722419929,0.8551793522423867,0.6634600931910416,,,0.7593197227167141,0.6634600931910416,0.8461627628416651,0.6270866989768443,,,0.7366247309092547,0.6270866989768443,0.017860827933807166,0.03171632094904875,,0.022694991807459375
4,58,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_58.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0058.png,1,0,38507,22989,0,0.42088777519241094,0.6004256674096294,0.8626506024096385,,0.627988015003893,0.7315381349096339,0.3641391794046661,0.5294246239944036,0.12121212121212122,,0.33825864153706364,0.3253183726032624,0.585310367240819,0.571756766458468,0.768025078369906,,0.6416974040230642,0.6698909224141869,-0.28972937346682937,-0.07100104341522584,,-0.30343876248600055
4,65,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_65.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0065.png,1,0,40329,1204,0,0.8601760275837038,0.6732283464566929,,,0.7667021870201984,0.6732283464566929,0.8387565448614271,0.8042219952332312,,,0.8214892700473292,0.8042219952332312,0.8509266720386784,0.8785114921561474,,,0.8647190820974129,0.8785114921561474,0.054787083027130756,0.1309936487765383,,-0.043229812050083694
4,66,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_66.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0066.png,1,0,48954,994,0,0.8168815271452046,0.5392699115044248,,,0.6780757193248147,0.5392699115044248,0.7568427753023552,0.5793022574025213,,,0.6680725163524383,0.5793022574025213,0.8078863530718909,0.7970600244997958,,,0.8024731887858434,0.7970600244997958,-0.010003202972376446,0.040032345898096455,,-0.13440067243340514
4,70,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_70.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0070.png,0,0,57396,0,0,0.8551116966157652,0.0,,,0.4275558483078826,0.0,0.8596093408123483,0.0,,,0.42980467040617415,0.0,0.8579025208966881,,,,0.8579025208966881,,0.0022488220982915252,0.0,,-0.4280978504905139
