model,metric,metric_display,mean,std,median,min,max,mean_sd
ResUNet-DS,val_loss,Validation Loss,0.9276410289786078,0.022990074460158844,0.9236536540768363,0.8993595486337488,0.9553190483288332,0.9276 ± 0.0230
Proposed,mean_dice_no_bg,Mean Dice (C1-C4),0.7406399482245138,0.015128650259154105,0.7499624834484098,0.7238779332367109,0.7536988505891876,0.7406 ± 0.0151
Proposed,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.7015960402230581,0.019681121006497538,0.7155270172704324,0.6795853385894627,0.7167792718138055,0.7016 ± 0.0197
Proposed,mean_iou_no_bg,Mean IoU (C1-C4),0.5964073966417665,0.017984662087718973,0.6062222217852435,0.5765573991165136,0.6127746711718689,0.5964 ± 0.0180
Proposed,macro_precision_no_bg,Macro Precision (C1-C4),0.6945287549970647,0.01593492568097161,0.6938221157801183,0.6787555647664634,0.714744773614804,0.6945 ± 0.0159
Proposed,macro_recall_no_bg,Macro Recall (C1-C4),0.7986634378971806,0.019789948699181655,0.793758866808481,0.775862472331338,0.8195168086468987,0.7987 ± 0.0198
Proposed,weighted_kappa_fg,Weighted Kappa,0.9731379995882691,0.0009221787393596122,0.9727793580853773,0.9719794842450873,0.9741840796249646,0.9731 ± 0.0009
Proposed,ordinal_mae_fg,Ordinal MAE,0.04900534282715008,0.0023305748678889822,0.04933943176098247,0.04632119025489073,0.05240366773966574,0.0490 ± 0.0023
Proposed,adjacent_error_rate_fg,Adjacent Error Rate,0.04852340905875207,0.002360693838839831,0.048728143486965164,0.04625638172785974,0.0520480785255537,0.0485 ± 0.0024
Proposed,distant_error_rate_fg,Distant Error Rate,0.00019581930152333767,0.00015986972190794622,0.0001316555143971868,2.4957320968456764e-05,0.0004094819459041148,0.0002 ± 0.0002
Proposed,dice_c1,Dice C1,0.8577716722288808,0.004490741490179068,0.8583403753062716,0.8532688819823417,0.864457586915334,0.8578 ± 0.0045
Proposed,dice_c2,Dice C2,0.6065609863876246,0.02742860345582281,0.6157402679795373,0.5665487300702383,0.639301420571379,0.6066 ± 0.0274
Proposed,dice_c3,Dice C3,0.7373345639967852,0.025466162081944844,0.7327570468818349,0.7062956177658203,0.7742764713562332,0.7373 ± 0.0255
Proposed,dice_c4,Dice C4,0.7608925702847644,0.02096236438556389,0.760321076105646,0.7380405908447967,0.7822281465656903,0.7609 ± 0.0210
Proposed,iou_c1,IoU C1,0.750985092046474,0.006895787811748714,0.7518356231057374,0.7440880155562348,0.7612728304591123,0.7510 ± 0.0069
Proposed,iou_c2,IoU C2,0.43573995177552505,0.02807973078313827,0.4448155600689214,0.3952340354743966,0.4698332387763877,0.4357 ± 0.0281
Proposed,iou_c3,IoU C3,0.5844697941935582,0.03216758873739714,0.578229332488155,0.5459482301096281,0.6316893273746252,0.5845 ± 0.0322
Proposed,iou_c4,IoU C4,0.6144347485515083,0.027317174570492764,0.6133209667848164,0.5848370284261877,0.6423437562296115,0.6144 ± 0.0273
Proposed,val_loss,Validation Loss,0.920704126222567,0.025888541715171673,0.9191760827194561,0.8809084499424155,0.9493927657604218,0.9207 ± 0.0259
